x_true,y_true,vx_true,vy_true,x_est,y_est,vx_est,vy_est,sensor,nis
-5.4869,-0.1688,-2.1918,-4.6733,-5.4683,-0.2579,-1.9755,-4.8302,L,1.5855
-5.5975,-0.4020,-2.2301,-4.6518,-5.5880,-0.4393,-2.0597,-4.7091,R,3.8675
-5.7100,-0.6341,-2.2697,-4.6292,-5.7237,-0.6230,-2.1487,-4.6002,L,2.7379
-5.8246,-0.8650,-2.3106,-4.6054,-5.8384,-0.8533,-2.2563,-4.5978,R,5.5669
-5.9412,-1.0947,-2.3526,-4.5803,-5.9342,-1.1226,-2.2415,-4.6633,L,1.3883
-6.0599,-1.3232,-2.3958,-4.5540,-6.0235,-1.3915,-2.2168,-4.7251,R,2.7440
-6.1809,-1.5503,-2.4401,-4.5265,-6.1616,-1.5987,-2.2984,-4.6547,L,1.1495
-6.3041,-1.7759,-2.4855,-4.4976,-6.3044,-1.8393,-2.4643,-4.6720,R,4.1897
-6.4295,-2.0001,-2.5320,-4.4674,-6.4109,-2.0890,-2.4630,-4.6894,L,0.4153
-6.5574,-2.2228,-2.5795,-4.4359,-6.5617,-2.2923,-2.5485,-4.6012,R,3.1920
-6.6876,-2.4439,-2.6279,-4.4029,-6.7110,-2.5012,-2.6317,-4.5338,L,0.5617
-6.8203,-2.6632,-2.6772,-4.3685,-6.8664,-2.7152,-2.7295,-4.4831,R,1.2033
-6.9555,-2.8808,-2.7274,-4.3326,-6.9598,-2.9834,-2.6752,-4.5592,L,2.2897
-7.0932,-3.0966,-2.7784,-4.2952,-7.0887,-3.2069,-2.6814,-4.5236,R,0.2667
-7.2334,-3.3105,-2.8302,-4.2563,-7.2135,-3.4003,-2.7153,-4.4430,L,1.4349
-7.3763,-3.5224,-2.8827,-4.2159,-7.3597,-3.6492,-2.7519,-4.4702,R,4.4189
-7.5218,-3.7322,-2.9358,-4.1738,-7.5180,-3.7860,-2.8624,-4.2741,L,5.0107
-7.6700,-3.9399,-2.9895,-4.1301,-7.6625,-3.9957,-2.9213,-4.2462,R,0.4848
-7.8209,-4.1454,-3.0438,-4.0848,-7.8174,-4.2238,-2.9702,-4.2458,L,0.4980
-7.9746,-4.3485,-3.0986,-4.0378,-7.9685,-4.4423,-3.0077,-4.2278,R,0.3843
-8.1310,-4.5493,-3.1538,-3.9891,-8.1308,-4.6802,-3.0550,-4.2468,L,1.2020
-8.2901,-4.7476,-3.2093,-3.9386,-8.2707,-4.8812,-3.0133,-4.1729,R,2.4848
-8.4520,-4.9433,-3.2651,-3.8864,-8.4038,-5.0990,-3.0119,-4.1734,L,0.2676
-8.6168,-5.1364,-3.3212,-3.8324,-8.5506,-5.2639,-3.0127,-4.0459,R,3.8528
-8.7843,-5.3267,-3.3774,-3.7766,-8.7407,-5.4629,-3.1145,-3.9999,L,1.7743
-8.9547,-5.5142,-3.4338,-3.7190,-8.9003,-5.6590,-3.1455,-3.9584,R,0.3099
-9.1279,-5.6987,-3.4901,-3.6596,-9.0572,-5.8448,-3.1838,-3.9094,L,0.1252
-9.3039,-5.8803,-3.5464,-3.5982,-9.1965,-5.9992,-3.1611,-3.7909,R,6.0183
-9.4827,-6.0587,-3.6026,-3.5350,-9.3730,-6.1019,-3.2566,-3.5932,L,4.6383
-9.6643,-6.2339,-3.6586,-3.4699,-9.5489,-6.2845,-3.3177,-3.5592,R,0.9531
-9.8487,-6.4058,-3.7143,-3.4029,-9.6895,-6.4925,-3.3022,-3.5926,L,0.5494
-10.0359,-6.5743,-3.7697,-3.3340,-9.9108,-6.6549,-3.4785,-3.5231,R,7.1261
-10.2259,-6.7393,-3.8246,-3.2632,-10.1138,-6.8200,-3.5720,-3.4473,L,0.6874
-10.4186,-6.9008,-3.8791,-3.1905,-10.2986,-6.9825,-3.6466,-3.3951,R,1.0194
-10.6140,-7.0585,-3.9329,-3.1158,-10.5284,-7.1640,-3.7661,-3.3459,L,3.6988
-10.8121,-7.2124,-3.9861,-3.0392,-10.7334,-7.3070,-3.8565,-3.2471,R,1.8981
-11.0128,-7.3625,-4.0386,-2.9606,-10.9800,-7.4695,-3.9925,-3.1618,L,3.6254
-11.2161,-7.5086,-4.0902,-2.8802,-11.1680,-7.6095,-4.0047,-3.0631,R,1.2653
-11.4220,-7.6506,-4.1409,-2.7978,-11.3186,-7.7626,-3.9653,-3.0351,L,3.0740
-11.6304,-7.7885,-4.1907,-2.7135,-11.5134,-7.8898,-3.9993,-2.9285,R,1.7931
-11.8413,-7.9221,-4.2393,-2.6273,-11.6935,-7.9939,-4.0197,-2.8010,L,3.0194
-12.0546,-8.0513,-4.2868,-2.5392,-11.8855,-8.1072,-4.0077,-2.6642,R,1.7249
-12.2702,-8.1761,-4.3331,-2.4493,-12.1003,-8.1980,-4.0806,-2.5138,L,0.7313
-12.4881,-8.2963,-4.3780,-2.3576,-12.3272,-8.3277,-4.2139,-2.4837,R,2.7865
-12.7082,-8.4119,-4.4216,-2.2640,-12.5312,-8.4084,-4.2524,-2.3336,L,1.8084
-12.9304,-8.5228,-4.4636,-2.1686,-12.7351,-8.4959,-4.2445,-2.1816,R,1.6807
-13.1547,-8.6289,-4.5041,-2.0715,-13.0139,-8.5855,-4.3906,-2.0280,L,4.3430
-13.3810,-8.7300,-4.5429,-1.9727,-13.2629,-8.6874,-4.5025,-1.9489,R,2.8262
-13.6092,-8.8262,-4.5800,-1.8721,-13.4850,-8.7340,-4.5413,-1.7619,L,1.9218
-13.8392,-8.9173,-4.6152,-1.7700,-13.6981,-8.7777,-4.5086,-1.5528,R,3.7641
-14.0709,-9.0032,-4.6486,-1.6662,-13.9267,-8.8859,-4.5430,-1.5185,L,0.8849
-14.3043,-9.0840,-4.6800,-1.5609,-14.1797,-8.9772,-4.6683,-1.4853,R,2.9340
-14.5391,-9.1594,-4.7094,-1.4540,-14.4049,-9.0870,-4.6793,-1.4732,L,0.6334
-14.7754,-9.2294,-4.7366,-1.3457,-14.6335,-9.1582,-4.6839,-1.3729,R,0.2812
-15.0130,-9.2940,-4.7616,-1.2360,-14.9202,-9.1569,-4.7962,-1.1072,L,2.1276
-15.2517,-9.3530,-4.7844,-1.1250,-15.1793,-9.2299,-4.8499,-1.0370,R,4.5167
-15.4916,-9.4065,-4.8048,-1.0127,-15.4460,-9.3431,-4.9002,-1.0573,L,5.3098
-15.7324,-9.4543,-4.8228,-0.8992,-15.6876,-9.3736,-4.8688,-0.8815,R,2.1032
-15.9741,-9.4964,-4.8383,-0.7845,-15.9460,-9.4567,-4.9045,-0.8598,L,2.1196
-16.2164,-9.5328,-4.8512,-0.6687,-16.1963,-9.4674,-4.9031,-0.6734,R,2.2966
-16.4594,-9.5633,-4.8616,-0.5520,-16.4478,-9.4617,-4.9269,-0.4861,L,0.5402
-16.7027,-9.5880,-4.8693,-0.4343,-16.6641,-9.4632,-4.8702,-0.3314,R,5.1499
-16.9464,-9.6067,-4.8743,-0.3158,-16.9485,-9.4479,-4.9342,-0.1363,L,1.5421
-17.1903,-9.6195,-4.8765,-0.1965,-17.2016,-9.5055,-4.9732,-0.1508,R,7.8371
-17.4342,-9.6264,-4.8758,-0.0765,-17.4625,-9.5227,-4.9934,-0.0615,L,0.4970
-17.6781,-9.6272,-4.8723,0.0441,-17.7197,-9.5128,-4.9811,0.0906,R,1.6942
-17.9216,-9.6219,-4.8659,0.1652,-17.9747,-9.4803,-4.9853,0.2603,L,0.2094
-18.1648,-9.6106,-4.8565,0.2866,-18.2175,-9.4444,-4.9394,0.4368,R,0.7154
-18.4074,-9.5933,-4.8441,0.4085,-18.4186,-9.4889,-4.8693,0.3911,L,2.2122
-18.6493,-9.5698,-4.8286,0.5305,-18.6549,-9.4761,-4.8753,0.4613,R,1.7085
-18.8904,-9.5402,-4.8101,0.6527,-18.9038,-9.4663,-4.8731,0.5356,L,0.2694
-19.1305,-9.5045,-4.7885,0.7749,-19.1339,-9.4285,-4.8604,0.6413,R,3.9494
-19.3694,-9.4626,-4.7638,0.8971,-19.3805,-9.3096,-4.8415,0.9251,L,3.0509
-19.6069,-9.4147,-4.7359,1.0191,-19.6130,-9.2356,-4.7709,1.1077,R,1.1559
-19.8431,-9.3607,-4.7049,1.1408,-19.8663,-9.1119,-4.7485,1.3685,L,1.4060
-20.0775,-9.3006,-4.6707,1.2622,-20.1038,-9.0110,-4.7070,1.5533,R,4.9853
-20.3102,-9.2345,-4.6333,1.3830,-20.2741,-9.1385,-4.6170,1.2256,L,14.4635
-20.5409,-9.1623,-4.5927,1.5033,-20.5131,-9.0965,-4.6200,1.2750,R,1.5724
-20.7696,-9.0841,-4.5490,1.6230,-20.7349,-9.0000,-4.5764,1.4332,L,0.7124
-20.9959,-8.9999,-4.5020,1.7418,-20.9771,-8.9195,-4.5533,1.5555,R,2.4722
-21.2198,-8.9099,-4.4519,1.8597,-21.1728,-8.8512,-4.4766,1.6243,L,1.2532
-21.4412,-8.8139,-4.3986,1.9767,-21.4058,-8.7644,-4.4377,1.7406,R,1.9320
-21.6597,-8.7122,-4.3422,2.0925,-21.5976,-8.7391,-4.3688,1.7032,L,1.6839
-21.8754,-8.6047,-4.2827,2.2071,-21.7876,-8.6013,-4.2112,1.9258,R,6.5427
-22.0881,-8.4914,-4.2201,2.3204,-21.9910,-8.5235,-4.1610,1.9829,L,0.1531
-22.2975,-8.3726,-4.1544,2.4323,-22.2004,-8.4167,-4.1427,2.0778,R,1.9856
-22.5035,-8.2482,-4.0856,2.5427,-22.4329,-8.3161,-4.1332,2.1666,L,1.2622
-22.7061,-8.1183,-4.0139,2.6515,-22.6233,-8.2021,-4.0413,2.2736,R,0.9025
-22.9049,-7.9830,-3.9392,2.7585,-22.8646,-7.9582,-4.0005,2.6320,L,6.1308
-23.1000,-7.8424,-3.8616,2.8637,-23.0546,-7.8107,-3.8506,2.7913,R,3.6917
-23.2911,-7.6966,-3.7812,2.9670,-23.2850,-7.6310,-3.8123,2.9806,L,2.2908
-23.4781,-7.5457,-3.6979,3.0683,-23.4848,-7.4899,-3.7966,3.0435,R,1.6254
-23.6609,-7.3898,-3.6119,3.1675,-23.6509,-7.3464,-3.6878,3.1175,L,0.6602
-23.8393,-7.2290,-3.5232,3.2645,-23.8420,-7.1856,-3.6322,3.2135,R,0.8933
-24.0132,-7.0634,-3.4319,3.3592,-24.0021,-7.0938,-3.5458,3.1678,L,2.0193
-24.1825,-6.8931,-3.3380,3.4515,-24.1699,-6.9121,-3.4262,3.3031,R,2.0074
-24.3470,-6.7182,-3.2417,3.5414,-24.3332,-6.6576,-3.2937,3.5550,L,3.3346
-24.5066,-6.5390,-3.1429,3.6287,-24.5004,-6.4813,-3.1709,3.6519,R,3.5185
-24.6612,-6.3554,-3.0418,3.7135,-24.5977,-6.3441,-3.0000,3.6417,L,5.2789
-24.8107,-6.1676,-2.9385,3.7955,-24.7381,-6.1558,-2.8825,3.7320,R,0.3170
-24.9550,-5.9759,-2.8330,3.8748,-24.9218,-5.9487,-2.8314,3.8534,L,2.7201
-25.0940,-5.7802,-2.7254,3.9513,-25.0525,-5.7440,-2.7133,3.9461,R,1.8638
-25.2276,-5.5808,-2.6158,4.0249,-25.1850,-5.5725,-2.6124,3.9716,L,0.3167
-25.3556,-5.3778,-2.5043,4.0956,-25.3379,-5.3864,-2.5884,4.0068,R,1.3066
-25.4779,-5.1713,-2.3911,4.1632,-25.4823,-5.1600,-2.5010,4.1188,L,0.6323
-25.5946,-4.9615,-2.2761,4.2278,-25.6133,-4.9830,-2.4711,4.1133,R,6.4185
-25.7055,-4.7486,-2.1596,4.2893,-25.7265,-4.8110,-2.3703,4.1098,L,0.5446
-25.8105,-4.5327,-2.0415,4.3476,-25.8476,-4.6051,-2.2979,4.1596,R,0.2519
-25.9096,-4.3139,-1.9220,4.4028,-25.9600,-4.3600,-2.1872,4.2749,L,0.5399
-26.0027,-4.0925,-1.8012,4.4547,-26.0699,-4.1392,-2.0067,4.3560,R,11.0205
-26.0897,-3.8686,-1.6793,4.5034,-26.1620,-3.8533,-1.8564,4.5212,L,1.9904
-26.1706,-3.6423,-1.5562,4.5487,-26.2364,-3.6158,-1.6302,4.6011,R,3.5784
-26.2453,-3.4138,-1.4322,4.5908,-26.2659,-3.3490,-1.4002,4.6965,L,4.4069
-26.3138,-3.1833,-1.3073,4.6295,-26.3156,-3.1039,-1.1877,4.7561,R,0.5804
-26.3760,-2.9510,-1.1816,4.6649,-26.3403,-2.8700,-0.9895,4.7755,L,1.4602
-26.4319,-2.7170,-1.0553,4.6970,-26.3977,-2.6432,-0.8753,4.7846,R,1.3841
-26.4815,-2.4814,-0.9284,4.7256,-26.4733,-2.4927,-0.8189,4.6729,L,5.7688
-26.5247,-2.2446,-0.8011,4.7509,-26.5281,-2.2577,-0.7361,4.6965,R,0.9645
-26.5616,-2.0065,-0.6734,4.7728,-26.5778,-2.0626,-0.6388,4.6542,L,1.1798
-26.5921,-1.7674,-0.5456,4.7914,-26.6084,-1.8268,-0.5433,4.6713,R,1.9982
-26.6161,-1.5275,-0.4176,4.8066,-26.6066,-1.5771,-0.3668,4.7046,L,1.1458
-26.6338,-1.2869,-0.2895,4.8185,-26.6040,-1.3476,-0.1721,4.7022,R,1.6857
-26.6451,-1.0459,-0.1616,4.8271,-26.6076,-1.1207,-0.0339,4.6918,L,0.0329
-26.6500,-0.8044,-0.0339,4.8324,-26.6365,-0.8968,0.0400,4.6809,R,5.1331
-26.6485,-0.5628,0.0935,4.8344,-26.6475,-0.6448,0.1519,4.7114,L,0.5563
-26.6406,-0.3212,0.2206,4.8332,-26.6351,-0.4028,0.3282,4.7173,R,2.2668
-26.6264,-0.0797,0.3471,4.8287,-26.5901,-0.1065,0.5267,4.7957,L,2.6452
-26.6059,0.1615,0.4730,4.8212,-26.5706,0.1333,0.6670,4.7824,R,2.7570
-26.5792,0.4022,0.5983,4.8104,-26.5470,0.4266,0.8028,4.8524,L,1.6358
-26.5462,0.6423,0.7227,4.7967,-26.5344,0.6646,0.8489,4.8304,R,1.7924
-26.5069,0.8817,0.8463,4.7799,-26.5262,0.9466,0.9286,4.8825,L,2.9619
-26.4616,1.1201,0.9690,4.7601,-26.4881,1.2062,0.9717,4.8879,R,7.2081
-26.4101,1.3575,1.0905,4.7374,-26.4306,1.4425,1.1033,4.8483,L,0.0790
-26.3526,1.5936,1.2110,4.7118,-26.3921,1.6606,1.1532,4.7882,R,8.4774
-26.2891,1.8284,1.3302,4.6834,-26.3365,1.8706,1.2559,4.7138,L,0.3931
-26.2197,2.0617,1.4481,4.6524,-26.2689,2.1019,1.3831,4.6749,R,0.2076
-26.1444,2.2934,1.5647,4.6186,-26.2064,2.2941,1.4750,4.5761,L,0.8311
-26.0633,2.5234,1.6798,4.5822,-26.1438,2.5209,1.5228,4.5446,R,0.8839
-25.9765,2.7514,1.7934,4.5433,-26.0645,2.7632,1.6316,4.5341,L,0.1168
-25.8841,2.9775,1.9054,4.5020,-25.9703,2.9865,1.8118,4.4803,R,2.7829
-25.7861,3.2014,2.0158,4.4583,-25.8683,3.2663,1.9467,4.5248,L,1.5044
-25.6826,3.4231,2.1245,4.4123,-25.7854,3.4962,2.0328,4.4890,R,2.1515
-25.5737,3.6424,2.2315,4.3640,-25.6798,3.6968,2.1407,4.4002,L,0.2397
